trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.9, 'e': 0.874590064603334}",25,15,-20.799640337398003,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.9, 'e': 0.8728426324887193}",30,0,-115.4192131060578,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.9, 'e': 0.8710986917457983}",25,0,-154.13223056008667,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
69,False,"{'a': 0.9, 'e': 0.8693582353988059}",25,0,-23.976105852139526,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.867621256485914}",35,0,-169.3785142923777,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
71,False,"{'a': 0.9, 'e': 0.865887748059205}",30,0,-71.86194421391235,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 0}",0
72,False,"{'a': 0.9, 'e': 0.8641577031846428}",30,0,-85.34736749180611,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.9, 'e': 0.8624311149420455}",30,0,-114.09896384021978,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
74,False,"{'a': 0.9, 'e': 0.8607079764250578}",30,0,-171.3396284098023,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
75,False,"{'a': 0.9, 'e': 0.8589882807411234}",20,0,-96.77775823461532,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.9, 'e': 0.8572720210114575}",20,0,-108.68917336627973,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
77,False,"{'a': 0.9, 'e': 0.8555591903710185}",30,0,-146.78037721609914,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.9, 'e': 0.8538497819684817}",20,9,-4.426706398112209,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.9, 'e': 0.8521437889662113}",25,5,-79.91265982943466,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
80,False,"{'a': 0.9, 'e': 0.850441204540233}",20,0,-79.06119782059987,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
