trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.7, 'e': 0.8572720210114575}",25,0,-74.09467117999986,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.7, 'e': 0.8555591903710185}",20,0,-58.691091216669435,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.7, 'e': 0.8538497819684817}",20,10,-18.03153283912245,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.8521437889662113}",25,0,-50.175766308651305,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.7, 'e': 0.850441204540233}",20,0,-26.96621447750258,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
81,False,"{'a': 0.7, 'e': 0.8487420218802068}",30,0,-218.5506098547366,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
82,False,"{'a': 0.7, 'e': 0.8470462341893996}",25,0,-143.5280113131176,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
83,False,"{'a': 0.7, 'e': 0.8453538346846587}",20,0,-81.81715874414628,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
84,False,"{'a': 0.7, 'e': 0.8436648165963837}",25,0,-176.7045236903345,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
85,False,"{'a': 0.7, 'e': 0.8419791731684999}",25,0,-208.1959764415926,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
86,False,"{'a': 0.7, 'e': 0.8402968976584314}",20,0,-82.48207902548451,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
87,False,"{'a': 0.7, 'e': 0.838617983337074}",20,0,-111.64739053321134,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
88,False,"{'a': 0.7, 'e': 0.8369424234887681}",30,0,-34.75770885924989,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.835270211411272}",25,0,-139.7474274594259,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
90,False,"{'a': 0.7, 'e': 0.8336013404157353}",20,0,-79.23561460009869,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.7, 'e': 0.8319358038266718}",25,0,-73.26315343597496,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.7, 'e': 0.8302735949819326}",25,0,-113.80046014111737,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
93,False,"{'a': 0.7, 'e': 0.8286147072326806}",20,0,-22.366069992388113,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.7, 'e': 0.8269591339433623}",20,1,-149.10902967820104,"{0: 9, 1: 0, 2: 6, 3: 3, 4: 1}",1
95,False,"{'a': 0.7, 'e': 0.8253068684916823}",30,0,-112.65192329383937,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
96,False,"{'a': 0.7, 'e': 0.8236579042685769}",25,0,-88.02006137683205,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 0.7, 'e': 0.8220122346781865}",25,0,-49.365255836242405,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.7, 'e': 0.8203698531378311}",20,6,-100.5424997426648,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
99,False,"{'a': 0.7, 'e': 0.8187307530779818}",20,0,-52.603755682104,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.7, 'e': 0.8170949279422366}",20,1,-79.59021691275534,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
101,False,"{'a': 0.7, 'e': 0.8154623711872927}",30,4,-27.543531877461884,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.8138330762829207}",30,17,-27.034904638805727,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.7, 'e': 0.812207036711939}",25,0,-65.50034438776933,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
104,False,"{'a': 0.7, 'e': 0.8105842459701871}",30,0,-86.51774641596211,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
105,False,"{'a': 0.7, 'e': 0.8089646975664998}",25,2,-134.43808648893634,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
106,False,"{'a': 0.7, 'e': 0.8073483850226815}",20,1,-80.69211825349146,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
107,False,"{'a': 0.7, 'e': 0.8057353018734796}",30,0,-42.635143136494676,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
108,False,"{'a': 0.7, 'e': 0.8041254416665596}",20,0,-97.22842400166205,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.7, 'e': 0.8025187979624785}",20,0,-60.84058317963625,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
110,False,"{'a': 0.7, 'e': 0.8009153643346592}",20,11,-44.299910401072424,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.7993151343693651}",30,0,-184.39758408890975,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
112,False,"{'a': 0.7, 'e': 0.7977181016656743}",25,0,-122.1847504449362,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
113,False,"{'a': 0.7, 'e': 0.7961242598354538}",20,0,-139.5571517523447,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
114,False,"{'a': 0.7, 'e': 0.794533602503334}",25,0,-37.0247483980103,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.7929461233066837}",20,3,-16.058588102592818,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
